Time,U_EN,V_EN,W_EN
0,-17.275,-25.9525,-53.8375
0.025,-2.6,-30.8275,-70.5525
0.05,18.97,-28.705,-82.8175
0.075,37.9525,-30.255,-71.9375
0.1,32.3925,-30.9825,-82.77
0.125,16.1025,-39.75,-99.67
0.15,16.0825,-42.5275,-110.1825
0.175,28.8075,-25.47,-94.525
0.2,50.5375,18.76,-34.935
0.225,62.4875,31.7425,17.2075
0.25,61.2975,58.0725,17.455
0.275,56.91,75.45,8.525
0.3,54.935,80.91,10.5075
0.325,29.96,84.6725,45.305
0.35,12.2975,85.8425,90.8375
0.375,14.8675,84.465,131.96
0.4,70.145,77.905,157.54
0.425,10.91,-53.4825,89.3575
0.45,10.21,-39.76,82.975
0.475,20.385,-36.4025,75.69
0.5,28.32,-37.9075,61.075
0.525,38.79,-29.9875,43.7225
0.55,47.915,1.435,36.4325
0.575,56.3925,30.4425,28.335
0.6,65.735,44.3425,19.33
0.625,71.1775,35.14,14.7475
0.65,78.0075,3.9975,12.37
0.675,87.32,-23.8625,12.28
0.7,101.11,-56.475,14.4
0.725,117.9525,-83.4625,15.965
0.75,139.5325,-96.91,20.8475
0.775,147.89,-63.7025,22.125
0.8,157.48,-17.1025,21.535
0.825,163.1425,-16.2075,19.0625
0.85,170.27,-60.775,17.93
0.875,176.455,-85.1925,19.68
0.9,181.315,-82.02,22.45
0.925,184.1975,-62.435,23.9825
0.95,187.32,-13.965,26.38
0.975,190.2175,42.5325,28.2475
1,192.6075,81.5225,29.1675
1.025,194.9475,91.2825,31.2825
1.05,198.02,92.3275,33.605
1.075,200.405,87.8325,35.57
1.1,202.0125,80.985,35.9175
1.125,203.8075,73.8675,34.5425
1.15,204.65,66.505,30.5775
1.175,205.1925,59.8725,28.185
1.2,204.8525,31.715,26.205
1.225,205.1825,-25.84,19.595
1.25,206.3425,-56.8,19.115
1.275,208.2925,-79.445,18.8125
1.3,209.7525,-86.26,16.6975
1.325,210.335,-85.7625,16.165
1.35,210.4275,-76.5125,17
1.375,209.54,-59.9425,18.175
1.4,208.3825,-44.8775,18.96
1.425,207.7525,-36.91,19.71
1.45,207.385,-31.5425,19.895
1.475,206.025,-29.9925,20.3525
1.5,206.42,-31.7,21.16
1.525,207.19,-34.8725,22.915
1.55,207.885,-35.54,22.0425
1.575,208.175,-28.16,20.6875
1.6,207.445,-8.285,18.3
1.625,204.2575,21.575,18.32
1.65,202.0825,37.1875,19.85
1.675,201.3125,55.795,23.3725
1.7,196.64,85.7425,28.365
1.725,190.3,87.3225,26.7525
1.75,186.3675,84.51,25.4775
1.775,184.895,75.0475,24.3925
1.8,185.6925,66.845,23.895
1.825,188.0175,57.7325,23.5475
1.85,191.06,42.665,24.8325
1.875,192.8575,30.28,24.2925
1.9,193.61,23.0475,24.145
1.925,194.7425,17.24,23.8
1.95,195.6225,13.2975,23.815
1.975,196.7075,9.1775,24.47
2,197.5825,5.76,24.64
2.025,197.2875,2.6025,24.6275
2.05,196.8725,0.6775,24.8775
2.075,195.9475,0.495,24.47
2.1,193.265,2.01,23.015
2.125,191.88,4.8425,21.0925
2.15,194.005,8.61,21.0925
2.175,194.745,8.6125,23.3225
2.2,194.5525,7.61,24.79
2.225,195.1425,7.2775,24.87
2.25,196.65,9.92,25.7425
2.275,197.98,12.045,26.64
2.3,198.6225,11.805,27.1075
2.325,199.145,11.7575,28.18
2.35,198.33,11.4025,27.745
2.375,197.905,9.79,27.4675
2.4,198.03,9.9675,25.8475
2.425,198.9475,12.26,23.015
2.45,200.32,14.3575,21.1925
2.475,202.815,14.7925,21.125
2.5,204.31,15.105,21.3825
2.525,204.695,15.2975,22.79
2.55,204.485,16.425,21.27
2.575,203.6625,16.39,19.8675
2.6,202.7425,16.42,18.9575
2.625,202.145,13.8475,18.765
2.65,201.24,11.885,18.0825
2.675,200.5675,11.4025,18.245
2.7,199.9225,10.77,19.8875
2.725,199.7975,10.0975,20.8375
2.75,200.635,11.015,21.4975
2.775,199.9425,11.5525,21.1525
2.8,198.82,11.3425,20.3875
2.825,197.265,10.955,20.025
2.85,196.16,10.76,20.89
2.875,196.37,10.585,22.1
2.9,197.61,10.9325,23.0325
2.925,199.3475,12.1875,23.54
2.95,199.8975,12.84,23.625
2.975,200.42,13.0675,23.0075
3,199.7,12.885,21.8925
3.025,200.43,9.735,21.3
3.05,201.0025,6.39,21.9275
3.075,201.7,2.585,22.7675
3.1,201.6675,0.1025,23.6675
3.125,201.79,0.1625,24.295
3.15,201.475,1.495,24.2875
3.175,202.025,3.6625,23.7325
3.2,200.755,6.5925,21.545
3.225,200.115,8.185,20.8275
3.25,200.8125,9.2875,21.9675
3.275,200.7425,9.4675,22.3
3.3,200.485,10.06,23.725
3.325,200.36,9.955,25.0175
3.35,199.705,9.6475,25.1975
3.375,198.345,9.0075,24.3475
3.4,197.105,7.755,23.925
3.425,195.6375,6.6125,23.635
3.45,194.95,6.6525,23.315
3.475,194.435,6.725,22.435
3.5,193.1725,5.8875,22.1325
3.525,190.47,4.5275,21.2475
3.55,187.7975,0.63,20.99
3.575,185.82,-2.135,20.645
3.6,186.13,-3.0125,19.605
3.625,188.0225,-2.2225,18.2875
3.65,188.7825,-1.6825,17.845
3.675,190.23,1.1075,18.1825
3.7,191.2475,4.2675,17.89
3.725,191.4725,5.5875,18.08
3.75,190.79,5.6975,18.3125
3.775,189.865,5.675,19.1725
3.8,189.26,5.18,20.2675
3.825,188.62,5.055,21.51
3.85,188.075,4.7025,21.8175
3.875,186.265,3.8725,22.3325
3.9,183.5825,2.6125,22.085
3.925,180.7,1.255,21.5325
3.95,177.05,1.02,20.35
3.975,173.8825,1.8925,18.555
4,171.92,3.02,17.2925
4.025,170.445,2.76,15.54
4.05,169.535,2.6075,14.19
4.075,169.0825,1.8625,14.1525
4.1,170.595,1.975,14.4775
4.125,172.7175,2.1875,14.8775
4.15,174.14,2.485,16.03
4.175,174.135,3.5,16.9225
4.2,173.0925,4.5375,17.855
4.225,171.335,4.745,17.7375
4.25,170.0575,4.4325,16.7175
4.275,169.785,3.9375,16.2475
4.3,170.4825,3.605,16.215
4.325,171.8875,3.1825,17.0875
4.35,173.775,2.6325,18.1925
4.375,174.2175,1.7275,18.415
4.4,174.6425,2.76,19.5675
4.425,175.2,3.88,20.4075
4.45,175.02,3.9275,20.3925
4.475,173.7175,4.1,19.5825
4.5,172.53,4.5075,18.8725
4.525,170.7725,5.365,17.1525
4.55,170.075,5.925,16.28
4.575,170.48,5.4175,16.7825
4.6,171.595,4.64,18.1875
4.625,171.83,5.8375,18.8125
4.65,170.46,7.96,19.14
4.675,168.4575,8.8375,19.1625
4.7,166.795,9.28,19.195
4.725,165.9925,9.0025,19.1625
4.75,166.195,8.75,19.0325
4.775,166.515,8.515,18.7875
4.8,167.0375,8.1425,18.4675
4.825,167.0125,7.5325,18.5
4.85,168.28,6.4425,18.085
4.875,168.335,5.7175,17.7075
4.9,166.87,5.2025,17.12
4.925,164.8025,3.775,16.715
4.95,163.06,2.785,16.6625
4.975,162.83,3.9275,16.155
5,164.1075,2.93,16.7575
5.025,166.1125,1.9975,16.865
5.05,168.995,2.0925,17.6725
5.075,173.4325,2.5825,20.095
5.1,174.1725,2.54,21.05
5.125,173.9725,3.1075,20.9625
5.15,173.425,3.66,20.6075
5.175,172.56,4.325,19.85
5.2,172.1025,6.135,18.825
5.225,171.4625,7.875,17.3725
5.25,170.1975,8.5975,16.1275
5.275,169.29,9.0875,15.2625
5.3,169.7075,8.3525,15.4275
5.325,169.7775,7.5425,15.615
5.35,169.2725,6.2925,15.715
5.375,167.99,5.425,16.0125
5.4,166.465,4.8825,16.7675
5.425,164.8425,4.9225,17.3025
5.45,162.92,5.7525,18.3325
5.475,162.7225,7.16,18.7425
5.5,162.1275,7.7475,18.06
5.525,160.4025,7.58,16.915
5.55,159.28,6.4175,17.3125
5.575,158.0625,5.785,17.3525
5.6,156.3775,5.485,16.505
5.625,154.6275,5.8575,14.6275
5.65,153.105,5.8325,12.3075
5.675,152.6625,5.415,10.6675
5.7,152.965,4.6225,9.9325
5.725,154.845,3.9825,10.455
5.75,158.005,3.915,11.6325
5.775,160.3375,6.375,13.4725
5.8,159.2225,7.1475,13.67
5.825,157.405,6.9925,13.1375
5.85,156.2975,6.2675,12.8875
5.875,154.4475,5.5775,12.13
5.9,156.1075,4.165,12.9525
5.925,156.97,3.555,13.1875
5.95,159.8875,2.42,13.99
5.975,163.32,0.905,15.5275
6,166.1175,0.9325,17.06
6.025,168.155,3.305,17.615
6.05,168.9575,5.16,18.2
6.075,168.895,6.69,18.9075
6.1,168.715,6.5425,19.165
6.125,169.0925,4.6875,20.25
6.15,168.7,3.2275,20.61
6.175,169,2.075,20.5025
6.2,168.9375,1.2225,20.295
6.225,168.3775,1.1325,20.3025
6.25,167.56,1.3225,20.15
6.275,166.6525,1.7775,19.9475
6.3,165.255,3.0475,19.065
6.325,163.755,5.16,17.8575
6.35,163.0225,6.59,16.1725
6.375,162.97,6.8175,16.445
6.4,161.97,7.34,17.045
6.425,161.65,6.97,17.5375
6.45,162.945,5.995,17.47
6.475,162.5125,5.825,16.5775
6.5,161.69,5.8225,15.675
6.525,160.3375,5.445,14.87
6.55,156.9975,4.6575,13.5375
6.575,153.935,4.025,12.7575
6.6,150.1325,3.915,12.455
6.625,149.38,3.9575,12.09
6.65,149.11,4.705,11.5775
6.675,149.675,5.6575,11.2025
6.7,150.2725,6.265,10.1325
6.725,150.5975,6.385,8.5175
6.75,150.8175,6.3325,7.4675
6.775,151.27,6.7075,7.0775
6.8,151.9175,7.6075,6.7275
6.825,152.9825,7.2225,8.1425
6.85,153.72,5.545,10.0725
6.875,154.8925,4.9425,11.7775
6.9,156.6325,4.375,15.6925
6.925,157.4275,4.6875,16.6075
6.95,157.1175,5.975,16.0625
6.975,157.505,6.9075,16.025
7,157.8675,6.85,16.2275
7.025,157.28,6.2425,16.3
7.05,156.6925,5.7125,17.4425
7.075,155.48,5.8325,18.2375
7.1,154.7175,5.21,19.25
7.125,153.415,4.895,19.325
7.15,152.4075,4.7025,18.5325
7.175,152.57,4.835,17.255
7.2,153.535,5.88,16.4525
7.225,153.955,5.695,15.675
7.25,154.3825,6.2725,14.5025
7.275,154.3275,7.435,14.02
7.3,153.9825,7.36,14.55
7.325,153.7125,6.57,15.26
7.35,153.5125,5.8375,15.66
