ID,Pm,Po,Ps,hm,hs,Lmotive,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,ThicknessNozzle,Lmch,alphaSuction,Dmix,Lmix,alphadiff, DdiffOut,Loutlet,ConvergenceIndicator,CrashIndicator,Experiment_model_type,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1
0,9964583.333333332,4556583.333333333,3904750.0,328975.0,397000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.07469481,0.081966658,-0.1566767,-1.5232000000003909e-05,0.9999997,0.93586869,0.001946362177503378
1,9877916.666666666,4930583.333333333,4327750.0,318925.0,388466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.077687037,0.089135192,-0.16689935,-7.712100000001332e-05,0.99999932,0.93677658,0.001933026297340793
2,8144583.333333333,3914750.0,3594250.0,288925.0,425266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.067253734,0.083457136,-0.15070748,3.3899999999920105e-06,0.99999996,0.97408644,0.002874118955236099
3,7646250.0,4391916.666666667,3436750.0,313975.0,431800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.053736511,-0.075901708,0.022165019,-1.7799999999651428e-07,0.99999998,0.99884704,0.2571600627473527
4,9206250.0,4868583.333333333,4111750.0,303025.0,398600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.075942254,0.012726548,-0.08868265,-1.3847999999996863e-05,0.99999157,0.94374792,0.0049208978678843916
5,7906250.0,3423583.3333333335,2995750.0,283225.0,384066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.066651713,0.077117031,-0.14377698,-8.235999999994803e-06,0.99999971,0.95458853,0.002760646441432846
6,8296250.0,3490583.3333333335,3202750.0,286675.0,459933.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.070964554,0.082232783,-0.15318903,8.306999999985187e-06,0.9999996,0.97664687,0.0002741031862811016
7,12142083.333333334,4451583.333333334,3148750.0,263125.0,396466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
8,9585416.666666666,4733583.333333334,3598750.0,277225.0,412600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.09839458,-0.040433191,-0.057970697,-9.308000000006478e-06,0.99999994,0.95031405,0.003938841274576725
9,8447916.666666666,4403083.333333334,2946250.0,283675.0,455533.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.075533511,-0.12827207,0.052738654,9.500000001244624e-08,0.99999998,0.99907451,0.3241864245050208
10,11708750.0,5449916.666666667,4165750.0,337375.0,386333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.090856289,-0.014370046,-0.076488833,-2.5899999999967616e-06,0.99999991,0.94621859,0.0040955155769163195
11,9672083.333333334,4826750.0,4044250.0,329875.0,447000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.07076588,0.020604185,-0.091399469,-2.9403999999996766e-05,0.99999554,0.94314375,0.004960911279869016
12,9715416.666666666,5288583.333333333,4363750.0,283375.0,417800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.095992207,-0.00074271078,-0.095254584,-5.087780000009867e-06,0.99999959,0.94605308,0.00162972465617676
13,8816250.0,6160250.0,5209750.0,308425.0,444733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.067738389,-0.11084283,0.04310434,-1.010000000092881e-07,0.99999998,0.99901077,0.24409757551510664
14,9260416.666666668,3172416.6666666665,2973250.0,323575.0,435533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.067808429,0.085050732,-0.15287672,-1.755899999997257e-05,0.99999945,0.97377196,0.002212309466170421
15,9455416.666666668,6354750.0,5250250.0,305575.0,400733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.078265486,-0.11600281,0.037737161,-1.6300000000440962e-07,0.99999998,0.99895618,0.19364874211290364
16,11102083.333333334,4000583.3333333335,3796750.0,257125.0,404200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
17,10322083.333333334,4510750.0,4323250.0,300175.0,451400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.093532317,0.11890426,-0.21249317,-5.6592999999993676e-05,0.99999965,0.98158985,0.0026793702928375315
18,10170416.666666668,5211250.0,3805750.0,291625.0,393533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.096863632,-0.090421039,-0.0064452392,-2.6461999999899052e-06,0.99961496,0.94233552,0.1588733000358907
19,11524583.333333332,4752416.666666667,4098250.0,259225.0,401933.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
20,11546250.0,4925583.333333333,4588750.0,318625.0,415666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.098147987,0.13359854,-0.23174802,-1.4930000000190624e-06,0.99999974,0.97833321,0.001775049430883529
21,10950416.666666668,4854250.0,3427750.0,289675.0,408600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10837539,-0.044905345,-0.063831684,-0.00036163899999999694,0.99999987,0.95561675,0.00540122424620484
22,8783750.0,5873750.0,4503250.0,305125.0,455666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.068703539,-0.15198979,0.083286329,7.799999998669982e-08,0.99999998,0.99912304,0.2102724252396823
23,12022916.666666666,5690750.0,4467250.0,318025.0,418733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10365475,0.0076011859,-0.11127993,-2.39940999999938e-05,0.99999307,0.94693153,0.005070312326776078
24,11665416.666666668,6150083.333333333,5358250.0,278125.0,456733.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.12474587,0.095331919,-0.22007804,-2.5100000000666256e-07,0.99999933,0.96584014,0.0022968863668761173
25,13832083.333333334,5450083.333333333,4602250.0,339625.0,410866.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10984369,0.13413663,-0.24400789,-2.7570000000004535e-05,0.99999927,0.96091074,0.0015603584686358374
26,11362083.333333334,4410083.333333334,3072250.0,279025.0,391666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12057109,0.0031337287,-0.12311425,0.0005905687000000159,0.99999984,0.96096496,0.005367740760604918
27,7949583.333333333,5616916.666666667,4255750.0,325075.0,382600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.054074087,-0.17003766,0.11596359,1.699999999105195e-08,0.9999996,0.99912338,0.06720903035207526
28,9401250.0,6694916.666666667,5389750.0,301975.0,404733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.07943803,-0.1664566,0.087018514,-5.599999999827965e-08,0.99999998,0.99911769,0.15765678979560457
29,13702083.333333334,5665916.666666667,4507750.0,324475.0,452733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11688137,0.080335333,-0.19736244,-0.0001457370000000069,0.9999997,0.9338416,0.003659126604410582
30,11719583.333333332,3498416.6666666665,3180250.0,333775.0,385000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.092553315,0.089672965,-0.20365436,-0.021428080000000016,0.99996724,0.9701785,0.003359323826905222
